X;Temperature_Explicit;Temperature_Implicit
0,000000;27,064785;27,064785
0,001949;26,906089;26,906089
0,003899;26,749663;26,749663
0,005848;26,595510;26,595510
0,007797;26,443624;26,443624
0,009747;26,294004;26,294004
0,011696;26,146647;26,146647
0,013645;26,001553;26,001553
0,015595;25,858718;25,858718
0,017544;25,718138;25,718138
0,019493;25,579809;25,579809
0,021442;25,443727;25,443727
0,023392;25,309885;25,309885
0,025341;25,178276;25,178276
0,027290;25,048894;25,048894
0,029240;24,921730;24,921730
0,031189;24,796775;24,796775
0,033138;24,674020;24,674020
0,035088;24,553454;24,553454
0,037037;24,435066;24,435066
0,038986;24,318845;24,318845
0,040936;24,204778;24,204778
0,042885;24,092851;24,092851
0,044834;23,983052;23,983052
0,046784;23,875366;23,875366
0,048733;23,769778;23,769778
0,050682;23,666272;23,666272
0,052632;23,564832;23,564832
0,054581;23,465440;23,465440
0,056530;23,368081;23,368081
0,058480;23,272736;23,272736
0,060429;23,179386;23,179386
0,062378;23,088012;23,088012
0,064327;22,998595;22,998595
0,066277;22,911116;22,911116
0,068226;22,825553;22,825553
0,070175;22,741886;22,741886
0,072125;22,660094;22,660094
0,074074;22,580155;22,580155
0,076023;22,502047;22,502047
0,077973;22,425747;22,425747
0,079922;22,351234;22,351234
0,081871;22,278483;22,278483
0,083821;22,207472;22,207472
0,085770;22,138178;22,138178
0,087719;22,070575;22,070575
0,089669;22,004641;22,004641
0,091618;21,940350;21,940350
0,093567;21,877679;21,877679
0,095517;21,816602;21,816602
0,097466;21,757096;21,757096
0,099415;21,699134;21,699134
0,101365;21,642692;21,642692
0,103314;21,587744;21,587744
0,105263;21,534266;21,534266
0,107212;21,482232;21,482232
0,109162;21,431616;21,431616
0,111111;21,382394;21,382394
0,113060;21,334539;21,334539
0,115010;21,288027;21,288027
0,116959;21,242831;21,242831
0,118908;21,198928;21,198928
0,120858;21,156290;21,156290
0,122807;21,114894;21,114894
0,124756;21,074714;21,074714
0,126706;21,035725;21,035725
0,128655;20,997902;20,997902
0,130604;20,961220;20,961220
0,132554;20,925656;20,925656
0,134503;20,891183;20,891183
0,136452;20,857779;20,857779
0,138402;20,825418;20,825418
0,140351;20,794078;20,794078
0,142300;20,763734;20,763734
0,144250;20,734363;20,734363
0,146199;20,705941;20,705941
0,148148;20,678446;20,678446
0,150097;20,651856;20,651856
0,152047;20,626147;20,626147
0,153996;20,601297;20,601297
0,155945;20,577284;20,577284
0,157895;20,554088;20,554088
0,159844;20,531686;20,531686
0,161793;20,510057;20,510057
0,163743;20,489180;20,489180
0,165692;20,469036;20,469036
0,167641;20,449604;20,449604
0,169591;20,430865;20,430865
0,171540;20,412798;20,412798
0,173489;20,395384;20,395384
0,175439;20,378606;20,378606
0,177388;20,362443;20,362443
0,179337;20,346879;20,346879
0,181287;20,331896;20,331896
0,183236;20,317475;20,317475
0,185185;20,303600;20,303600
0,187135;20,290254;20,290254
0,189084;20,277420;20,277420
0,191033;20,265083;20,265083
0,192982;20,253227;20,253227
0,194932;20,241836;20,241836
0,196881;20,230895;20,230895
0,198830;20,220390;20,220390
0,200780;20,210306;20,210306
0,202729;20,200629;20,200629
0,204678;20,191346;20,191346
0,206628;20,182442;20,182442
0,208577;20,173906;20,173906
0,210526;20,165723;20,165723
0,212476;20,157883;20,157883
0,214425;20,150373;20,150373
0,216374;20,143180;20,143180
0,218324;20,136294;20,136294
0,220273;20,129704;20,129704
0,222222;20,123398;20,123398
0,224172;20,117367;20,117367
0,226121;20,111600;20,111600
0,228070;20,106086;20,106086
0,230019;20,100817;20,100817
0,231969;20,095784;20,095784
0,233918;20,090976;20,090976
0,235867;20,086386;20,086386
0,237817;20,082004;20,082004
0,239766;20,077823;20,077823
0,241715;20,073835;20,073835
0,243665;20,070031;20,070031
0,245614;20,066405;20,066405
0,247563;20,062948;20,062948
0,249513;20,059655;20,059655
0,251462;20,056519;20,056519
0,253411;20,053532;20,053532
0,255361;20,050689;20,050689
0,257310;20,047983;20,047983
0,259259;20,045409;20,045409
0,261209;20,042960;20,042960
