X;Temperature_Explicit;Temperature_Implicit;Temperature_CN
0,000000;27,190089;27,190089;27,189329
0,004880;26,793039;26,793039;26,792271
0,009761;26,410180;26,410180;26,409382
0,014641;26,041498;26,041498;26,040663
0,019522;25,686962;25,686962;25,686085
0,024402;25,346508;25,346508;25,345584
0,029283;25,020044;25,020044;25,019071
0,034163;24,707447;24,707447;24,706424
0,039043;24,408568;24,408568;24,407491
0,043924;24,123228;24,123228;24,122096
0,048804;23,851221;23,851221;23,850032
0,053685;23,592317;23,592317;23,591071
0,058565;23,346262;23,346262;23,344957
0,063446;23,112778;23,112778;23,111416
0,068326;22,891569;22,891569;22,890150
0,073206;22,682318;22,682318;22,680844
0,078087;22,484693;22,484693;22,483165
0,082967;22,298347;22,298347;22,296768
0,087848;22,122918;22,122918;22,121291
0,092728;21,958035;21,958035;21,956363
0,097609;21,803316;21,803316;21,801605
0,102489;21,658375;21,658375;21,656629
0,107369;21,522819;21,522819;21,521041
0,112250;21,396250;21,396250;21,394448
0,117130;21,278272;21,278272;21,276450
0,122011;21,168486;21,168486;21,166650
0,126891;21,066498;21,066498;21,064653
0,131772;20,971914;20,971914;20,970067
0,136652;20,884348;20,884348;20,882504
0,141532;20,803418;20,803418;20,801584
0,146413;20,728751;20,728751;20,726932
0,151293;20,659982;20,659982;20,658184
0,156174;20,596756;20,596756;20,594984
0,161054;20,538728;20,538728;20,536986
0,165935;20,485564;20,485564;20,483857
0,170815;20,436942;20,436942;20,435275
0,175695;20,392554;20,392554;20,390931
0,180576;20,352102;20,352102;20,350526
0,185456;20,315303;20,315303;20,313778
0,190337;20,281888;20,281888;20,280416
0,195217;20,251600;20,251600;20,250182
0,200098;20,224195;20,224195;20,222835
0,204978;20,199443;20,199443;20,198142
0,209858;20,177129;20,177129;20,175887
0,214739;20,157049;20,157049;20,155867
0,219619;20,139012;20,139012;20,137890
0,224500;20,122839;20,122839;20,121778
0,229380;20,108365;20,108365;20,107363
0,234261;20,095435;20,095435;20,094492
0,239141;20,083904;20,083904;20,083019
0,244021;20,073642;20,073642;20,072813
0,248902;20,064524;20,064524;20,063750
0,253782;20,056438;20,056438;20,055717
0,258663;20,049281;20,049281;20,048612
0,263543;20,042958;20,042958;20,042337
0,268424;20,037381;20,037381;20,036808
0,273304;20,032472;20,032472;20,031944
0,278184;20,028159;20,028159;20,027673
0,283065;20,024376;20,024376;20,023931
0,287945;20,021065;20,021065;20,020658
0,292826;20,018172;20,018172;20,017800
0,297706;20,015649;20,015649;20,015311
0,302587;20,013453;20,013453;20,013146
0,307467;20,011544;20,011544;20,011266
0,312347;20,009889;20,009889;20,009638
0,317228;20,008457;20,008457;20,008230
0,322108;20,007219;20,007219;20,007015
0,326989;20,006151;20,006151;20,005969
0,331869;20,005233;20,005233;20,005069
0,336750;20,004443;20,004443;20,004298
0,341630;20,003766;20,003766;20,003636
0,346510;20,003187;20,003187;20,003071
0,351391;20,002692;20,002692;20,002590
0,356271;20,002269;20,002269;20,002179
0,361152;20,001910;20,001910;20,001830
0,366032;20,001605;20,001605;20,001535
0,370913;20,001346;20,001346;20,001284
0,375793;20,001127;20,001127;20,001073
0,380673;20,000941;20,000941;20,000895
0,385554;20,000785;20,000785;20,000744
0,390434;20,000654;20,000654;20,000618
0,395315;20,000544;20,000544;20,000513
0,400195;20,000451;20,000451;20,000424
0,405076;20,000374;20,000374;20,000351
0,409956;20,000309;20,000309;20,000289
0,414837;20,000255;20,000255;20,000238
0,419717;20,000210;20,000210;20,000195
0,424597;20,000173;20,000173;20,000160
0,429478;20,000142;20,000142;20,000131
0,434358;20,000116;20,000116;20,000107
0,439239;20,000095;20,000095;20,000087
0,444119;20,000078;20,000078;20,000071
0,449000;20,000063;20,000063;20,000058
0,453880;20,000051;20,000051;20,000047
0,458760;20,000042;20,000042;20,000038
0,463641;20,000034;20,000034;20,000031
0,468521;20,000027;20,000027;20,000025
0,473402;20,000022;20,000022;20,000020
0,478282;20,000018;20,000018;20,000016
0,483163;20,000014;20,000014;20,000013
0,488043;20,000012;20,000012;20,000010
0,492923;20,000009;20,000009;20,000008
0,497804;20,000007;20,000007;20,000006
0,502684;20,000006;20,000006;20,000005
0,507565;20,000005;20,000005;20,000004
0,512445;20,000004;20,000004;20,000003
0,517326;20,000003;20,000003;20,000003
0,522206;20,000002;20,000002;20,000002
0,527086;20,000002;20,000002;20,000002
0,531967;20,000001;20,000001;20,000001
0,536847;20,000001;20,000001;20,000001
0,541728;20,000001;20,000001;20,000001
0,546608;20,000001;20,000001;20,000001
0,551489;20,000001;20,000001;20,000000
0,556369;20,000000;20,000000;20,000000
0,561249;20,000000;20,000000;20,000000
0,566130;20,000000;20,000000;20,000000
0,571010;20,000000;20,000000;20,000000
0,575891;20,000000;20,000000;20,000000
0,580771;20,000000;20,000000;20,000000
0,585652;20,000000;20,000000;20,000000
0,590532;20,000000;20,000000;20,000000
0,595412;20,000000;20,000000;20,000000
0,600293;20,000000;20,000000;20,000000
0,605173;20,000000;20,000000;20,000000
0,610054;20,000000;20,000000;20,000000
0,614934;20,000000;20,000000;20,000000
0,619815;20,000000;20,000000;20,000000
0,624695;20,000000;20,000000;20,000000
0,629575;20,000000;20,000000;20,000000
0,634456;20,000000;20,000000;20,000000
0,639336;20,000000;20,000000;20,000000
0,644217;20,000000;20,000000;20,000000
0,649097;20,000000;20,000000;20,000000
0,653978;20,000000;20,000000;20,000000
0,658858;20,000000;20,000000;20,000000
0,663738;20,000000;20,000000;20,000000
0,668619;20,000000;20,000000;20,000000
0,673499;20,000000;20,000000;20,000000
0,678380;20,000000;20,000000;20,000000
0,683260;20,000000;20,000000;20,000000
0,688141;20,000000;20,000000;20,000000
0,693021;20,000000;20,000000;20,000000
0,697901;20,000000;20,000000;20,000000
0,702782;20,000000;20,000000;20,000000
0,707662;20,000000;20,000000;20,000000
0,712543;20,000000;20,000000;20,000000
0,717423;20,000000;20,000000;20,000000
0,722304;20,000000;20,000000;20,000000
0,727184;20,000000;20,000000;20,000000
0,732064;20,000000;20,000000;20,000000
0,736945;20,000000;20,000000;20,000000
0,741825;20,000000;20,000000;20,000000
0,746706;20,000000;20,000000;20,000000
0,751586;20,000000;20,000000;20,000000
0,756467;20,000000;20,000000;20,000000
0,761347;20,000000;20,000000;20,000000
0,766227;20,000000;20,000000;20,000000
0,771108;20,000000;20,000000;20,000000
0,775988;20,000000;20,000000;20,000000
0,780869;20,000000;20,000000;20,000000
0,785749;20,000000;20,000000;20,000000
0,790630;20,000000;20,000000;20,000000
0,795510;20,000000;20,000000;20,000000
0,800390;20,000000;20,000000;20,000000
0,805271;20,000000;20,000000;20,000000
0,810151;20,000000;20,000000;20,000000
0,815032;20,000000;20,000000;20,000000
0,819912;20,000000;20,000000;20,000000
0,824793;20,000000;20,000000;20,000000
0,829673;20,000000;20,000000;20,000000
0,834553;20,000000;20,000000;20,000000
0,839434;20,000000;20,000000;20,000000
0,844314;20,000000;20,000000;20,000000
0,849195;20,000000;20,000000;20,000000
0,854075;20,000000;20,000000;20,000000
0,858956;20,000000;20,000000;20,000000
0,863836;20,000000;20,000000;20,000000
0,868716;20,000000;20,000000;20,000000
0,873597;20,000000;20,000000;20,000000
0,878477;20,000000;20,000000;20,000000
0,883358;20,000000;20,000000;20,000000
0,888238;20,000000;20,000000;20,000000
0,893119;20,000000;20,000000;20,000000
0,897999;20,000000;20,000000;20,000000
0,902879;20,000000;20,000000;20,000000
0,907760;20,000000;20,000000;20,000000
0,912640;20,000000;20,000000;20,000000
0,917521;20,000000;20,000000;20,000000
0,922401;20,000000;20,000000;20,000000
0,927282;20,000000;20,000000;20,000000
0,932162;20,000000;20,000000;20,000000
0,937042;20,000000;20,000000;20,000000
0,941923;20,000000;20,000000;20,000000
0,946803;20,000000;20,000000;20,000000
0,951684;20,000000;20,000000;20,000000
0,956564;20,000000;20,000000;20,000000
0,961445;20,000000;20,000000;20,000000
0,966325;20,000000;20,000000;20,000000
0,971205;20,000000;20,000000;20,000000
0,976086;20,000000;20,000000;20,000000
0,980966;20,000000;20,000000;20,000000
0,985847;20,000000;20,000000;20,000000
0,990727;20,000000;20,000000;20,000000
0,995608;20,000000;20,000000;20,000000
1,000488;20,000000;20,000000;20,000000
1,005368;20,000000;20,000000;20,000000
1,010249;20,000000;20,000000;20,000000
1,015129;20,000000;20,000000;20,000000
1,020010;20,000000;20,000000;20,000000
1,024890;20,000000;20,000000;20,000000
1,029771;20,000000;20,000000;20,000000
1,034651;20,000000;20,000000;20,000000
1,039531;20,000000;20,000000;20,000000
1,044412;20,000000;20,000000;20,000000
1,049292;20,000000;20,000000;20,000000
1,054173;20,000000;20,000000;20,000000
1,059053;20,000000;20,000000;20,000000
1,063934;20,000000;20,000000;20,000000
1,068814;20,000000;20,000000;20,000000
1,073694;20,000000;20,000000;20,000000
1,078575;20,000000;20,000000;20,000000
1,083455;20,000000;20,000000;20,000000
1,088336;20,000000;20,000000;20,000000
1,093216;20,000000;20,000000;20,000000
1,098097;20,000000;20,000000;20,000000
1,102977;20,000000;20,000000;20,000000
1,107857;20,000000;20,000000;20,000000
1,112738;20,000000;20,000000;20,000000
1,117618;20,000000;20,000000;20,000000
1,122499;20,000000;20,000000;20,000000
1,127379;20,000000;20,000000;20,000000
1,132260;20,000000;20,000000;20,000000
1,137140;20,000000;20,000000;20,000000
1,142020;20,000000;20,000000;20,000000
1,146901;20,000000;20,000000;20,000000
1,151781;20,000000;20,000000;20,000000
1,156662;20,000000;20,000000;20,000000
1,161542;20,000000;20,000000;20,000000
1,166423;20,000000;20,000000;20,000000
1,171303;20,000000;20,000000;20,000000
1,176184;20,000000;20,000000;20,000000
1,181064;20,000000;20,000000;20,000000
1,185944;20,000000;20,000000;20,000000
1,190825;20,000000;20,000000;20,000000
1,195705;20,000000;20,000000;20,000000
1,200586;20,000000;20,000000;20,000000
1,205466;20,000000;20,000000;20,000000
1,210347;20,000000;20,000000;20,000000
1,215227;20,000000;20,000000;20,000000
1,220107;20,000000;20,000000;20,000000
1,224988;20,000000;20,000000;20,000000
1,229868;20,000000;20,000000;20,000000
1,234749;20,000000;20,000000;20,000000
1,239629;20,000000;20,000000;20,000000
1,244510;20,000000;20,000000;20,000000
1,249390;20,000000;20,000000;20,000000
1,254270;20,000000;20,000000;20,000000
1,259151;20,000000;20,000000;20,000000
1,264031;20,000000;20,000000;20,000000
1,268912;20,000000;20,000000;20,000000
1,273792;20,000000;20,000000;20,000000
1,278673;20,000000;20,000000;20,000000
1,283553;20,000000;20,000000;20,000000
1,288433;20,000000;20,000000;20,000000
1,293314;20,000000;20,000000;20,000000
1,298194;20,000000;20,000000;20,000000
1,303075;20,000000;20,000000;20,000000
1,307955;20,000000;20,000000;20,000000
1,312836;20,000000;20,000000;20,000000
1,317716;20,000000;20,000000;20,000000
1,322596;20,000000;20,000000;20,000000
1,327477;20,000000;20,000000;20,000000
1,332357;20,000000;20,000000;20,000000
1,337238;20,000000;20,000000;20,000000
1,342118;20,000000;20,000000;20,000000
