X;Temperature_Explicit;Temperature_Implicit
0,000000;59,973186;59,973186
0,001949;59,836711;59,836711
0,003899;59,700497;59,700497
0,005848;59,564546;59,564546
0,007797;59,428856;59,428856
0,009747;59,293427;59,293427
0,011696;59,158258;59,158258
0,013645;59,023351;59,023351
0,015595;58,888705;58,888705
0,017544;58,754321;58,754321
0,019493;58,620199;58,620199
0,021442;58,486339;58,486339
0,023392;58,352741;58,352741
0,025341;58,219406;58,219406
0,027290;58,086333;58,086333
0,029240;57,953524;57,953524
0,031189;57,820977;57,820977
0,033138;57,688694;57,688694
0,035088;57,556674;57,556674
0,037037;57,424919;57,424919
0,038986;57,293427;57,293427
0,040936;57,162199;57,162199
0,042885;57,031235;57,031235
0,044834;56,900536;56,900536
0,046784;56,770102;56,770102
0,048733;56,639932;56,639932
0,050682;56,510027;56,510027
0,052632;56,380388;56,380388
0,054581;56,251014;56,251014
0,056530;56,121905;56,121905
0,058480;55,993062;55,993062
0,060429;55,864484;55,864484
0,062378;55,736173;55,736173
0,064327;55,608127;55,608127
0,066277;55,480348;55,480348
0,068226;55,352835;55,352835
0,070175;55,225588;55,225588
0,072125;55,098608;55,098608
0,074074;54,971895;54,971895
0,076023;54,845449;54,845449
0,077973;54,719269;54,719269
0,079922;54,593357;54,593357
0,081871;54,467711;54,467711
0,083821;54,342333;54,342333
0,085770;54,217222;54,217222
0,087719;54,092379;54,092379
0,089669;53,967803;53,967803
0,091618;53,843495;53,843495
0,093567;53,719454;53,719454
0,095517;53,595682;53,595682
0,097466;53,472177;53,472177
0,099415;53,348940;53,348940
0,101365;53,225971;53,225971
0,103314;53,103270;53,103270
0,105263;52,980838;52,980838
0,107212;52,858674;52,858674
0,109162;52,736777;52,736777
0,111111;52,615150;52,615150
0,113060;52,493790;52,493790
0,115010;52,372699;52,372699
0,116959;52,251877;52,251877
0,118908;52,131323;52,131323
0,120858;52,011037;52,011037
0,122807;51,891021;51,891021
0,124756;51,771272;51,771272
0,126706;51,651793;51,651793
0,128655;51,532582;51,532582
0,130604;51,413639;51,413639
0,132554;51,294966;51,294966
0,134503;51,176560;51,176560
0,136452;51,058424;51,058424
0,138402;50,940557;50,940557
0,140351;50,822958;50,822958
0,142300;50,705627;50,705627
0,144250;50,588566;50,588566
0,146199;50,471773;50,471773
