X; Explicit
0,000000;26,9948
0,001949;26,8382
0,003899;26,6817
0,005848;26,5298
0,007797;26,3778
0,009747;26,2303
0,011696;26,0829
0,013645;25,9399
0,015595;25,7970
0,017544;25,6586
0,019493;25,5202
0,021442;25,3862
0,023392;25,2523
0,025341;25,1228
0,027290;24,9933
0,029240;24,8682
0,031189;24,7432
0,033138;24,6225
0,035088;24,5018
0,037037;24,3855
0,038986;24,2692
0,040936;24,1571
0,042885;24,0451
0,044834;23,9373
0,046784;23,8295
0,048733;23,7259
0,050682;23,6222
0,052632;23,5227
0,054581;23,4232
0,056530;23,3278
0,058480;23,2323
0,060429;23,1408
0,062378;23,0493
0,064327;22,9618
0,066277;22,8742
0,068226;22,7904
0,070175;22,7066
0,072125;22,6265
0,074074;22,5465
0,076023;22,4701
0,077973;22,3937
0,079922;22,3208
0,081871;22,2479
0,083821;22,1785
0,085770;22,1091
0,087719;22,0431
0,089669;21,9770
0,091618;21,9143
0,093567;21,8515
0,095517;21,7919
0,097466;21,7323
0,099415;21,6757
0,101365;21,6192
0,103314;21,5656
0,105263;21,5120
0,107212;21,4613
0,109162;21,4106
0,111111;21,3626
0,113060;21,3147
0,115010;21,2694
0,116959;21,2241
0,118908;21,1813
0,120858;21,1386
0,122807;21,0983
0,124756;21,0581
0,126706;21,0202
0,128655;20,9822
0,130604;20,9466
0,132554;20,9109
0,134503;20,8775
0,136452;20,8440
0,138402;20,8125
0,140351;20,7811
0,142300;20,7517
0,144250;20,7222
0,146199;20,6947
0,148148;20,6671
0,150097;20,6413
0,152047;20,6155
0,153996;20,5915
0,155945;20,5674
0,157895;20,5449
0,159844;20,5224
0,161793;20,5015
0,163743;20,4806
0,165692;20,4611
0,167641;20,4416
0,169591;20,4235
0,171540;20,4053
0,173489;20,3885
0,175439;20,3717
0,177388;20,3561
0,179337;20,3404
0,181287;20,3260
0,183236;20,3115
0,185185;20,2981
0,187135;20,2847
0,189084;20,2724
0,191033;20,2600
0,192982;20,2485
0,194932;20,2371
0,196881;20,2266
0,198830;20,2160
0,200780;20,2063
0,202729;20,1966
0,204678;20,1877
0,206628;20,1787
0,208577;20,1705
0,210526;20,1623
0,212476;20,1548
0,214425;20,1472
0,216374;20,1403
0,218324;20,1334
0,220273;20,1271
0,222222;20,1208
0,224172;20,1150
0,226121;20,1092
0,228070;20,1039
0,230019;20,0986
0,231969;20,0938
0,233918;20,0889
0,235867;20,0845
0,237817;20,0801
0,239766;20,0761
0,241715;20,0721
0,243665;20,0685
0,245614;20,0649
0,247563;20,0616
0,249513;20,0582
0,251462;20,0552
0,253411;20,0523
0,255361;20,0495
0,257310;20,0468
0,259259;20,0444
0,261209;20,0419
0,263158;20,0397
0,265107;20,0375
0,267057;20,0355
0,269006;20,0335
0,270955;20,0316
0,272904;20,0298
0,274854;20,0282
0,276803;20,0266
0,278752;20,0251
0,280702;20,0237
0,282651;20,0223
0,284600;20,0210
0,286550;20,0198
0,288499;20,0187
0,290448;20,0176
0,292398;20,0166
0,294347;20,0156
0,296296;20,0147
0,298246;20,0138
