X;Explicit;Implicit;CN
0,000000;26,994751;27,071556;27,071291
0,001949;26,838245;26,912857;26,912592
0,003899;26,681739;26,756420;26,756154
0,005848;26,529760;26,602246;26,601979
0,007797;26,377781;26,450335;26,450068
0,009747;26,230329;26,300687;26,300420
0,011696;26,082877;26,153301;26,153033
0,013645;25,939943;26,008176;26,007907
0,015595;25,797009;25,865307;25,865037
0,017544;25,658580;25,724693;25,724422
0,019493;25,520151;25,586328;25,586056
0,021442;25,386207;25,450208;25,449934
0,023392;25,252262;25,316326;25,316051
0,025341;25,122775;25,184676;25,184400
0,027290;24,993288;25,055251;25,054974
0,029240;24,868227;24,928043;24,927764
0,031189;24,743166;24,803042;24,802761
0,033138;24,622492;24,680239;24,679957
0,035088;24,501818;24,559625;24,559341
0,037037;24,385487;24,441187;24,440901
0,038986;24,269157;24,324914;24,324626
0,040936;24,157120;24,210794;24,210504
0,042885;24,045083;24,098813;24,098522
0,044834;23,937285;23,988959;23,988666
0,046784;23,829487;23,881216;23,880921
0,048733;23,725868;23,775570;23,775273
0,050682;23,622249;23,672005;23,671705
0,052632;23,522745;23,570505;23,570203
0,054581;23,423241;23,471053;23,470749
0,056530;23,327781;23,373631;23,373325
0,058480;23,232322;23,278223;23,277915
0,060429;23,140834;23,184809;23,184499
0,062378;23,049347;23,093370;23,093058
0,064327;22,961753;23,003888;23,003574
0,066277;22,874159;22,916342;22,916026
0,068226;22,790378;22,830712;22,830394
0,070175;22,706598;22,746977;22,746657
0,072125;22,626545;22,665117;22,664795
0,074074;22,546492;22,585108;22,584784
0,076023;22,470080;22,506931;22,506605
0,077973;22,393667;22,430561;22,430233
0,079922;22,320804;22,355977;22,355648
0,081871;22,247942;22,283156;22,282825
0,083821;22,178536;22,212073;22,211741
0,085770;22,109130;22,142707;22,142373
0,087719;22,043085;22,075032;22,074697
0,089669;21,977041;22,009026;22,008689
0,091618;21,914261;21,944663;21,944325
0,093567;21,851482;21,881920;21,881580
0,095517;21,791868;21,820771;21,820430
0,097466;21,732254;21,761191;21,760850
0,099415;21,675707;21,703157;21,702815
0,101365;21,619160;21,646642;21,646300
0,103314;21,565578;21,591623;21,591279
0,105263;21,511997;21,538072;21,537728
0,107212;21,461280;21,485966;21,485621
0,109162;21,410564;21,435279;21,434934
0,111111;21,362610;21,385985;21,385640
0,113060;21,314657;21,338059;21,337714
0,115010;21,269365;21,291475;21,291130
0,116959;21,224073;21,246209;21,245865
0,118908;21,181342;21,202236;21,201891
0,120858;21,138611;21,159529;21,159185
0,122807;21,098339;21,118063;21,117720
0,124756;21,058068;21,077814;21,077472
0,126706;21,020156;21,038757;21,038415
0,128655;20,982245;21,000866;21,000526
0,130604;20,946594;20,964118;20,963778
0,132554;20,910944;20,928486;20,928148
0,134503;20,877456;20,893948;20,893611
0,136452;20,843969;20,860478;20,860143
0,138402;20,812549;20,828053;20,827720
0,140351;20,781128;20,796649;20,796318
0,142300;20,751680;20,766242;20,765912
0,144250;20,722232;20,736809;20,736481
0,146199;20,694664;20,708326;20,708001
0,148148;20,667095;20,680771;20,680448
0,150097;20,641315;20,654120;20,653799
0,152047;20,615535;20,628352;20,628034
0,153996;20,591455;20,603444;20,603129
0,155945;20,567375;20,579375;20,579062
0,157895;20,544908;20,556122;20,555811
0,159844;20,522441;20,533664;20,533357
0,161793;20,501503;20,511980;20,511676
0,163743;20,480565;20,491050;20,490749
0,165692;20,461074;20,470854;20,470556
0,167641;20,441583;20,451370;20,451075
0,169591;20,423461;20,432579;20,432288
0,171540;20,405338;20,414462;20,414174
0,173489;20,388506;20,397000;20,396716
