X;Explicit;Implicit;CrankNicolson
0,000000;26,994751;27,071205;27,070939
0,001949;26,837541;26,912505;26,912240
0,003899;26,681739;26,756068;26,755802
0,005848;26,529055;26,601893;26,601627
0,007797;26,377781;26,449983;26,449716
0,009747;26,229625;26,300335;26,300068
0,011696;26,082877;26,152950;26,152681
0,013645;25,939241;26,007824;26,007555
0,015595;25,797009;25,864957;25,864687
0,017544;25,657881;25,724343;25,724072
0,019493;25,520151;25,585979;25,585707
0,021442;25,385511;25,449859;25,449586
0,023392;25,252262;25,315978;25,315704
0,025341;25,122084;25,184330;25,184054
0,027290;24,993288;25,054906;25,054629
0,029240;24,867541;24,927699;24,927420
0,031189;24,743166;24,802700;24,802419
0,033138;24,621813;24,679899;24,679617
0,035088;24,501818;24,559286;24,559002
0,037037;24,384815;24,440850;24,440564
0,038986;24,269157;24,324579;24,324291
0,040936;24,156456;24,210461;24,210171
0,042885;24,045083;24,098483;24,098191
0,044834;23,936630;23,988630;23,988337
0,046784;23,829487;23,880890;23,880595
0,048733;23,725223;23,775246;23,774949
0,050682;23,622249;23,671684;23,671384
0,052632;23,522110;23,570186;23,569884
0,054581;23,423241;23,470737;23,470433
0,056530;23,327157;23,373318;23,373012
0,058480;23,232322;23,277912;23,277604
0,060429;23,140222;23,184501;23,184191
0,062378;23,049347;23,093066;23,092754
0,064327;22,961153;23,003587;23,003273
0,066277;22,874159;22,916044;22,915728
0,068226;22,789792;22,830417;22,830099
0,070175;22,706598;22,746686;22,746366
0,072125;22,625971;22,664828;22,664506
0,074074;22,546492;22,584824;22,584500
0,076023;22,469520;22,506649;22,506323
0,077973;22,393667;22,430283;22,429956
0,079922;22,320259;22,355703;22,355373
0,081871;22,247942;22,282885;22,282554
0,083821;22,178005;22,211806;22,211474
0,085770;22,109130;22,142444;22,142110
0,087719;22,042570;22,074773;22,074437
0,089669;21,977041;22,008770;22,008433
0,091618;21,913761;21,944411;21,944073
0,093567;21,851482;21,881671;21,881332
0,095517;21,791383;21,820526;21,820186
0,097466;21,732254;21,760951;21,760610
0,099415;21,675238;21,702920;21,702578
0,101365;21,619160;21,646410;21,646067
0,103314;21,565125;21,591394;21,591050
0,105263;21,511997;21,537847;21,537503
0,107212;21,460843;21,485745;21,485401
0,109162;21,410564;21,435062;21,434717
0,111111;21,362188;21,385772;21,385427
0,113060;21,314657;21,337850;21,337505
0,115010;21,268959;21,291270;21,290925
0,116959;21,224073;21,246008;21,245664
0,118908;21,180951;21,202038;21,201694
0,120858;21,138611;21,159335;21,158992
0,122807;21,097964;21,117874;21,117531
0,124756;21,058068;21,077629;21,077286
0,126706;21,019797;21,038575;21,038234
0,128655;20,982245;21,000688;21,000348
0,130604;20,946250;20,963944;20,963604
0,132554;20,910944;20,928316;20,927978
0,134503;20,877127;20,893782;20,893445
0,136452;20,843969;20,860316;20,859981
0,138402;20,812235;20,827895;20,827561
0,140351;20,781128;20,796494;20,796162
0,142300;20,751381;20,766091;20,765761
0,144250;20,722232;20,736661;20,736333
0,146199;20,694379;20,708182;20,707856
0,148148;20,667095;20,680630;20,680307
0,150097;20,641044;20,653983;20,653662
0,152047;20,615535;20,628218;20,627900
0,153996;20,591198;20,603314;20,602998
0,155945;20,567375;20,579248;20,578935
0,157895;20,544664;20,555998;20,555688
0,159844;20,522441;20,533543;20,533236
0,161793;20,501272;20,511863;20,511559
0,163743;20,480565;20,490936;20,490635
0,165692;20,460855;20,470743;20,470445
0,167641;20,441583;20,451262;20,450967
0,169591;20,423254;20,432474;20,432183
0,171540;20,405338;20,414360;20,414073
0,173489;20,388311;20,396901;20,396617
0,175439;20,371675;20,380077;20,379797
0,177388;20,355877;20,363870;20,363594
0,179337;20,340447;20,348263;20,347990
