X;Implicit;CrankNicolson
0,000000;100,000000;100,000000
0,090909;98,422515;98,273249
0,181818;96,853165;96,562741
0,272727;95,291819;94,868194
0,363636;93,738348;93,189328
0,454545;92,192624;91,525865
0,545455;90,654519;89,877530
0,636364;89,123907;88,244051
0,727273;87,600660;86,625158
0,818182;86,084653;85,020583
0,909091;84,575760;83,430060
1,000000;83,674618;82,484021
1,090909;83,375621;82,171402
1,181818;83,078001;81,861498
1,272727;82,781755;81,554301
1,363636;82,486877;81,249800
1,454545;82,193362;80,947985
1,545455;81,901206;80,648846
1,636364;81,610404;80,352373
1,727273;81,320951;80,058557
1,818182;81,032842;79,767386
1,909091;80,746072;79,478853
2,000000;77,035416;75,762078
2,083333;70,522158;69,265074
2,166667;64,033388;62,816172
2,250000;57,566852;56,410891
2,333333;51,120304;50,044785
2,416667;44,691506;43,713432
2,500000;38,278226;37,412436
2,583333;31,878238;31,137420
2,666667;25,489318;24,884028
2,750000;19,109248;18,647916
2,833333;12,735814;12,424754
2,916667;6,366802;6,210221
3,000000;0,000000;0,000000
